game_id;player_name;opponent_name;turn_number;row;col;result;opponent_ship_positions;winner
ab42c433;raphael;hugo;1;1;8;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;2;1;3;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;3;1;7;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;4;1;4;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;5;1;6;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;6;1;5;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;7;1;5;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;8;1;6;hit;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;9;1;4;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;hugo;raphael;10;4;6;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
